"f07_hh_id","s08_heads_child_cnt","s08_girls_cnt","s08_age_cnt","s08_duration_village_cnt","s08_age_head_cnt","s08_yrs_ed_head_cnt","s08_num_ppl_hh_cnt","s08_jeribs_cnt","s08_num_sheep_cnt","s08_farsi_cnt","s08_tajik_cnt","s08_farmer_cnt","s08_test_observed","f07_heads_child_cnt","f07_girl_cnt","f07_age_cnt","f07_age_head_cnt","f07_yrs_ed_head_cnt","f07_jeribs_cnt","f07_num_sheep_cnt","f07_duration_village_cnt","f07_farsi_cnt","f07_tajik_cnt","f07_farmer_cnt","f07_num_ppl_hh_cnt","f07_test_observed","f07_observed","s08_observed","treatment","clustercode","chagcharan","f07_formal_school","s08_formal_school","f07_nearest_scl","s08_nearest_scl","f07_both_norma_total","s08_both_norma_total","s08_hh_id","observation_id"
"NM",0,0,7,35,35,0,8,2,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,12,0,NA,1,NA,0.57471364736557,NA,-1.02227532863617,"V19.W02N",1128
"V19.J05",0,1,9,35,35,0,8,2,0,0,0,1,1,1,1,9,28,0,1,0,28,0,0,1,5,1,1,1,1,12,0,0,0,0.585183620452881,0.57471364736557,-0.923688888549805,-0.621799886226654,"V19.W02N",1129
"V19.E04",0,1,11,35,35,0,8,2,0,0,0,1,1,1,1,10,15,0,1,0,40,1,0,1,3,1,1,1,1,12,0,0,0,0.571173429489136,0.57471364736557,-0.923688888549805,-1.02227532863617,"V19.W02N",1130
"V19.P07",1,1,10,60,60,3,10,0.5,7,0,0,0,1,1,1,8,50,7,0.5,3,50,0,1,1,9,1,1,1,1,12,0,0,0,0.114662483334541,0.112733654677868,-0.387226700782776,-0.381514608860016,"V19.W04N",1131
"V19.P09",1,1,9,35,35,3,4,0,4,0,0,1,1,1,1,7,38,5,0,4,38,0,1,1,5,0,1,1,1,12,0,0,0,0.114662483334541,0.112733654677868,NA,-0.0611342713236809,"V19.W05N",1132
"V20.L05",1,1,7,50,55,0,5,0.5,0,0,0,1,1,1,1,8,50,4,2,0,50,0,0,1,5,1,1,1,0,14,0,0,0,3.04954242706299,3.03981351852417,-0.923688888549805,-0.942180216312408,"V20.C01N",1133
"V20.E01",1,0,9,11,40,6,8,4,8,0,1,1,1,1,0,9,19,1,1,6,50,0,0,0,10,1,1,1,0,14,0,1,1,2.93680357933044,3.25495672225952,2.160968542099,2.42181348800659,"V20.G01N",1134
"V20.E01",1,1,11,11,40,6,8,4,8,0,1,1,1,1,1,9,19,1,1,6,50,0,0,0,10,1,1,1,0,14,0,0,0,2.93680357933044,3.25495672225952,0.0151199074462056,-0.301419526338577,"V20.G01N",1135
"V20.F03",1,0,8,45,45,4,4,0,0,0,1,1,1,1,0,7,50,1,0,0,15,1,0,1,4,1,1,1,0,14,0,0,0,2.89397382736206,3.16370820999146,-0.923688888549805,-0.942180216312408,"V20.G03N",1136
"V20.F03",1,1,11,45,45,4,4,0,0,0,1,1,1,1,1,11,50,1,0,0,15,1,0,1,4,1,1,1,0,14,0,0,0,2.89397382736206,3.16370820999146,1.49039089679718,-0.1412293612957,"V20.G03N",1137
"V20.E02",1,0,8,27,27,1,6,3,0,0,1,1,1,1,0,9,27,0,0.5,0,45,0,0,1,6,1,1,1,0,14,0,0,0,2.89656853675842,2.88445782661438,-0.923688888549805,-0.862085163593292,"V20.G05N",1138
"V20.E05",1,0,7,40,40,2,7,0,0,0,1,1,1,1,0,7,45,0,0,0,45,0,0,0,6,1,1,1,0,14,0,0,0,2.89072728157043,2.88445782661438,-1.32603549957275,-0.942180216312408,"V20.G06N",1139
"V20.E05",1,1,9,40,40,2,7,0,0,0,1,1,1,1,1,10,45,0,0,0,45,0,0,0,6,1,1,1,0,14,0,0,0,2.89072728157043,2.88445782661438,-0.521342277526855,-0.862085163593292,"V20.G06N",1140
"V20.E04",1,0,9,45,45,1,7,2,0,0,1,1,1,1,0,10,30,0,1,2,30,0,0,0,6,1,1,1,0,14,0,1,1,2.89072728157043,3.16370820999146,1.49039089679718,-0.0611342713236809,"V20.G07N",1141
